name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,5426,,2969,354,1,15.8,2,120,,connector,20,"LINESTRING (-111.9372275 33.4161100, -111.9372270 33.4159675)",auto;bike;walk,1,0,,
,5427,,354,2969,1,15.8,2,120,,connector,20,"LINESTRING (-111.9372270 33.4159675, -111.9372275 33.4161100)",auto;bike;walk,1,0,,
,5428,,2970,321,1,11.46,2,120,,connector,20,"LINESTRING (-111.9372610 33.4162483, -111.9373445 33.4163243)",auto;bike;walk,1,0,,
,5429,,321,2970,1,11.46,2,120,,connector,20,"LINESTRING (-111.9373445 33.4163243, -111.9372610 33.4162483)",auto;bike;walk,1,0,,
,5430,,2971,324,1,13.47,2,120,,connector,20,"LINESTRING (-111.9380352 33.4168938, -111.9379041 33.4168421)",auto;bike;walk,1,0,,
,5431,,324,2971,1,13.47,2,120,,connector,20,"LINESTRING (-111.9379041 33.4168421, -111.9380352 33.4168938)",auto;bike;walk,1,0,,
,5432,,2972,270,1,19.81,2,120,,connector,20,"LINESTRING (-111.9366972 33.4156343, -111.9368893 33.4157116)",auto;bike;walk,1,0,,
,5433,,270,2972,1,19.81,2,120,,connector,20,"LINESTRING (-111.9368893 33.4157116, -111.9366972 33.4156343)",auto;bike;walk,1,0,,
,5434,,2973,943,1,33.16,2,120,,connector,20,"LINESTRING (-111.9390838 33.4183180, -111.9387538 33.4184314)",auto;bike;walk,1,0,,
,5435,,943,2973,1,33.16,2,120,,connector,20,"LINESTRING (-111.9387538 33.4184314, -111.9390838 33.4183180)",auto;bike;walk,1,0,,
,5436,,2974,1025,1,14.94,2,120,,connector,20,"LINESTRING (-111.9326349 33.4206602, -111.9327266 33.4207708)",auto;bike;walk,1,0,,
,5437,,1025,2974,1,14.94,2,120,,connector,20,"LINESTRING (-111.9327266 33.4207708, -111.9326349 33.4206602)",auto;bike;walk,1,0,,
,5438,,2975,549,1,17.21,2,120,,connector,20,"LINESTRING (-111.9354675 33.4168505, -111.9355286 33.4167040)",auto;bike;walk,1,0,,
,5439,,549,2975,1,17.21,2,120,,connector,20,"LINESTRING (-111.9355286 33.4167040, -111.9354675 33.4168505)",auto;bike;walk,1,0,,
,5440,,2976,552,1,15.51,2,120,,connector,20,"LINESTRING (-111.9349624 33.4168585, -111.9350697 33.4169656)",auto;bike;walk,1,0,,
,5441,,552,2976,1,15.51,2,120,,connector,20,"LINESTRING (-111.9350697 33.4169656, -111.9349624 33.4168585)",auto;bike;walk,1,0,,
,5442,,2977,550,1,9.66,2,120,,connector,20,"LINESTRING (-111.9350181 33.4171008, -111.9350915 33.4170392)",auto;bike;walk,1,0,,
,5443,,550,2977,1,9.66,2,120,,connector,20,"LINESTRING (-111.9350915 33.4170392, -111.9350181 33.4171008)",auto;bike;walk,1,0,,
,5444,,2978,2427,1,28.33,2,120,,connector,20,"LINESTRING (-111.9347406 33.4167974, -111.9348595 33.4165621)",auto;bike;walk,1,0,,
,5445,,2427,2978,1,28.33,2,120,,connector,20,"LINESTRING (-111.9348595 33.4165621, -111.9347406 33.4167974)",auto;bike;walk,1,0,,
,5446,,2979,2630,1,17.25,2,120,,connector,20,"LINESTRING (-111.9340853 33.4171288, -111.9342696 33.4171108)",auto;bike;walk,1,0,,
,5447,,2630,2979,1,17.25,2,120,,connector,20,"LINESTRING (-111.9342696 33.4171108, -111.9340853 33.4171288)",auto;bike;walk,1,0,,
,5448,,2980,1306,1,9.23,2,120,,connector,20,"LINESTRING (-111.9338074 33.4171026, -111.9338853 33.4170509)",auto;bike;walk,1,0,,
,5449,,1306,2980,1,9.23,2,120,,connector,20,"LINESTRING (-111.9338853 33.4170509, -111.9338074 33.4171026)",auto;bike;walk,1,0,,
,5450,,2981,1359,1,15.39,2,120,,connector,20,"LINESTRING (-111.9338744 33.4168869, -111.9337196 33.4169362)",auto;bike;walk,1,0,,
