o_zone_id,o_zone_name,d_zone_id,d_zone_name,dist_km,geometry
0,A0,0,A0,0.0,"LINESTRING (-111.94048216 33.431108615, -111.94048216 33.431108615)"
0,A0,1,A1,0.21347902684140596,"LINESTRING (-111.94048216 33.431108615, -111.93818168 33.431108615)"
0,A0,2,A2,0.4269580537427345,"LINESTRING (-111.94048216 33.431108615, -111.93588120000001 33.431108615)"
0,A0,3,A3,0.6404370666911582,"LINESTRING (-111.94048216 33.431108615, -111.93358072000002 33.431108615)"
0,A0,4,A4,0.8539160868557246,"LINESTRING (-111.94048216 33.431108615, -111.93128024 33.431108615)"
0,A0,5,A5,1.0673951016308811,"LINESTRING (-111.94048216 33.431108615, -111.92897976 33.431108615)"
0,A0,6,A6,1.2808741209274754,"LINESTRING (-111.94048216 33.431108615, -111.92667927999999 33.431108615)"
0,A0,7,A7,1.4943531429960768,"LINESTRING (-111.94048216 33.431108615, -111.92437879999999 33.431108615)"
0,A0,8,A8,1.7078321617146492,"LINESTRING (-111.94048216 33.431108615, -111.92207832000001 33.431108615)"
0,A0,9,A9,1.9213111830905278,"LINESTRING (-111.94048216 33.431108615, -111.91977784000001 33.431108615)"
0,A0,10,B0,0.19845737550834855,"LINESTRING (-111.94048216 33.431108615, -111.94048216 33.429323845)"
0,A0,11,B1,0.2914782361071047,"LINESTRING (-111.94048216 33.431108615, -111.93818168 33.429323845)"
0,A0,12,B2,0.47083143569774605,"LINESTRING (-111.94048216 33.431108615, -111.93588120000001 33.429323845)"
0,A0,13,B3,0.6704874228677753,"LINESTRING (-111.94048216 33.431108615, -111.93358072000002 33.429323845)"
0,A0,14,B4,0.8766829486923848,"LINESTRING (-111.94048216 33.431108615, -111.93128024 33.429323845)"
0,A0,15,B5,1.085698423187447,"LINESTRING (-111.94048216 33.431108615, -111.92897976 33.429323845)"
0,A0,16,B6,1.2961703543169736,"LINESTRING (-111.94048216 33.431108615, -111.92667927999999 33.429323845)"
0,A0,17,B7,1.5074888248296558,"LINESTRING (-111.94048216 33.431108615, -111.92437879999999 33.429323845)"
0,A0,18,B8,1.719341732620562,"LINESTRING (-111.94048216 33.431108615, -111.92207832000001 33.429323845)"
0,A0,19,B9,1.9315532345267863,"LINESTRING (-111.94048216 33.431108615, -111.91977784000001 33.429323845)"
0,A0,20,C0,0.39691472835792047,"LINESTRING (-111.94048216 33.431108615, -111.94048216 33.427539075)"
0,A0,21,C1,0.4506844474373663,"LINESTRING (-111.94048216 33.431108615, -111.93818168 33.427539075)"
0,A0,22,C2,0.5829596726502996,"LINESTRING (-111.94048216 33.431108615, -111.93588120000001 33.427539075)"
0,A0,23,C3,0.7534705103979852,"LINESTRING (-111.94048216 33.431108615, -111.93358072000002 33.427539075)"
0,A0,24,C4,0.9416708446966904,"LINESTRING (-111.94048216 33.431108615, -111.93128024 33.427539075)"
0,A0,25,C5,1.1388241617591666,"LINESTRING (-111.94048216 33.431108615, -111.92897976 33.427539075)"
0,A0,26,C6,1.340987435992392,"LINESTRING (-111.94048216 33.431108615, -111.92667927999999 33.427539075)"
0,A0,27,C7,1.5461967722570773,"LINESTRING (-111.94048216 33.431108615, -111.92437879999999 33.427539075)"
0,A0,28,C8,1.7533830030097255,"LINESTRING (-111.94048216 33.431108615, -111.92207832000001 33.427539075)"
0,A0,29,C9,1.9619199209823064,"LINESTRING (-111.94048216 33.431108615, -111.91977784000001 33.427539075)"
0,A0,30,D0,0.5953721115796691,"LINESTRING (-111.94048216 33.431108615, -111.94048216 33.425754305)"
0,A0,31,D1,0.6324903621242726,"LINESTRING (-111.94048216 33.431108615, -111.93818168 33.425754305)"
0,A0,32,D2,0.7326475073446552,"LINESTRING (-111.94048216 33.431108615, -111.93588120000001 33.42575430499999)"
0,A0,33,D3,0.87444432521595,"LINESTRING (-111.94048216 33.431108615, -111.93358072000002 33.425754305)"
0,A0,34,D4,1.0410022137950647,"LINESTRING (-111.94048216 33.431108615, -111.93128024 33.425754305)"
0,A0,35,D5,1.2222399670318318,"LINESTRING (-111.94048216 33.431108615, -111.92897976 33.425754305)"
0,A0,36,D6,1.412518205206439,"LINESTRING (-111.94048216 33.431108615, -111.92667927999999 33.425754305)"
0,A0,37,D7,1.6086320339818763,"LINESTRING (-111.94048216 33.431108615, -111.92437879999999 33.42575430499999)"
0,A0,38,D8,1.8086842117516864,"LINESTRING (-111.94048216 33.431108615, -111.92207832000001 33.425754305)"
0,A0,39,D9,2.0115000208906975,"LINESTRING (-111.94048216 33.431108615, -111.91977784000001 33.425754305)"
0,A0,40,E0,0.7938294798078983,"LINESTRING (-111.94048216 33.431108615, -111.94048216 33.423969535)"
0,A0,41,E1,0.822035453808933,"LINESTRING (-111.94048216 33.431108615, -111.93818168 33.423969535)"
0,A0,42,E2,0.9013730649764023,"LINESTRING (-111.94048216 33.431108615, -111.93588120000001 33.423969535)"
0,A0,43,E3,1.0199797086360676,"LINESTRING (-111.94048216 33.431108615, -111.93358072000002 33.423969535)"
0,A0,44,E4,1.1659322016600435,"LINESTRING (-111.94048216 33.431108615, -111.93128024 33.423969535)"
0,A0,45,E5,1.330259847967054,"LINESTRING (-111.94048216 33.431108615, -111.92897976 33.423969535)"
0,A0,46,E6,1.5069634034130996,"LINESTRING (-111.94048216 33.431108615, -111.92667927999999 33.423969535)"
0,A0,47,E7,1.6921702709229343,"LINESTRING (-111.94048216 33.431108615, -111.92437879999999 33.423969535)"
0,A0,48,E8,1.8833735225547332,"LINESTRING (-111.94048216 33.431108615, -111.92207832000001 33.423969535)"
0,A0,49,E9,2.078919314695488,"LINESTRING (-111.94048216 33.431108615, -111.91977784000001 33.423969535)"
0,A0,50,F0,0.992286846714902,"LINESTRING (-111.94048216 33.431108615, -111.94048216 33.422184765000004)"
0,A0,51,F1,1.014993186114295,"LINESTRING (-111.94048216 33.431108615, -111.93818167999999 33.422184765000004)"
0,A0,52,F2,1.0802523334767893,"LINESTRING (-111.94048216 33.431108615, -111.93588120000001 33.422184765000004)"
0,A0,53,F3,1.1810313229017397,"LINESTRING (-111.94048216 33.431108615, -111.93358072 33.422184765000004)"
0,A0,54,F4,1.3091527150102547,"LINESTRING (-111.94048216 33.431108615, -111.93128024 33.422184765000004)"
0,A0,55,F5,1.4574232851023947,"LINESTRING (-111.94048216 33.431108615, -111.92897976 33.422184765000004)"
0,A0,56,F6,1.620321072918186,"LINESTRING (-111.94048216 33.431108615, -111.92667928 33.422184765000004)"
0,A0,57,F7,1.7938656839237916,"LINESTRING (-111.94048216 33.431108615, -111.9243788 33.422184765000004)"
0,A0,58,F8,1.9752528325377638,"LINESTRING (-111.94048216 33.431108615, -111.92207832 33.422184765000004)"
0,A0,59,F9,2.162509970055723,"LINESTRING (-111.94048216 33.431108615, -111.91977784000002 33.422184765000004)"
0,A0,60,G0,1.1907442168902063,"LINESTRING (-111.94048216 33.431108615, -111.94048216 33.420399995000004)"
0,A0,61,G1,1.2097316682452863,"LINESTRING (-111.94048216 33.431108615, -111.93818168 33.420399995000004)"
0,A0,62,G2,1.2649851574130992,"LINESTRING (-111.94048216 33.431108615, -111.93588120000001 33.420399995000004)"
0,A0,63,G3,1.3520658364873348,"LINESTRING (-111.94048216 33.431108615, -111.93358072000002 33.420399995000004)"
0,A0,64,G4,1.4653103509319336,"LINESTRING (-111.94048216 33.431108615, -111.93128024 33.420399995000004)"
0,A0,65,G5,1.5991699859270514,"LINESTRING (-111.94048216 33.431108615, -111.92897976 33.420399995000004)"
0,A0,66,G6,1.7489175803070962,"LINESTRING (-111.94048216 33.431108615, -111.92667927999999 33.420399995000004)"
0,A0,67,G7,1.910821446803225,"LINESTRING (-111.94048216 33.431108615, -111.92437879999999 33.420399995000004)"
0,A0,68,G8,2.0820476274806223,"LINESTRING (-111.94048216 33.431108615, -111.92207832000001 33.420399995000004)"
0,A0,69,G9,2.2604786811820428,"LINESTRING (-111.94048216 33.431108615, -111.91977784000001 33.420399995000004)"
0,A0,70,H0,1.3892015858405693,"LINESTRING (-111.94048216 33.431108615, -111.94048216 33.418615224999996)"
