first_column,scenario_index,scenario_name,demand_period,mode_type,od_volume,number_of_routes,total_distance_km,total_distance_mile,total_travel_time_min,total_travel_delay_min,total_co2_kg,total_nox_kg,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,avg_travel_delay_in_min,avg_speed_kmph,avg_speed_mph,avg_co2_kg,avg_nox_kg,
0,0,scenario,am,walk,127.332,6,342.843,213.079,342.844,0.00043686,0,0,2.69253,1.67342,2.69253,3.43089e-06,59.9999,37.2902,0,0,
0,0,scenario,am,bike,127.332,6,371.417,230.837,371.417,0.000207822,0,0,2.91693,1.81288,2.91693,1.63213e-06,60,37.2902,0,0,
