o_zone_name,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,J0,J1,J2,J3,J4,J5,J6,J7,J8,J9,gate0,gate1,gate10,gate11,gate12,gate13,gate14,gate15,gate16,gate17,gate18,gate19,gate2,gate20,gate21,gate22,gate23,gate24,gate25,gate26,gate27,gate28,gate29,gate3,gate30,gate31,gate32,gate33,gate34,gate35,gate36,gate37,gate38,gate39,gate4,gate5,gate6,gate7,gate8,gate9
A0,0.0,0.21347902684140596,0.4269580537427345,0.6404370666911582,0.8539160868557246,1.0673951016308811,1.2808741209274754,1.4943531429960768,1.7078321617146492,1.9213111830905278,0.19845737550834855,0.2914782361071047,0.47083143569774605,0.6704874228677753,0.8766829486923848,1.085698423187447,1.2961703543169736,1.5074888248296558,1.719341732620562,1.9315532345267863,0.39691472835792047,0.4506844474373663,0.5829596726502996,0.7534705103979852,0.9416708446966904,1.1388241617591666,1.340987435992392,1.5461967722570773,1.7533830030097255,1.9619199209823064,0.5953721115796691,0.6324903621242726,0.7326475073446552,0.87444432521595,1.0410022137950647,1.2222399670318318,1.412518205206439,1.6086320339818763,1.8086842117516864,2.0115000208906975,0.7938294798078983,0.822035453808933,0.9013730649764023,1.0199797086360676,1.1659322016600435,1.330259847967054,1.5069634034130996,1.6921702709229343,1.8833735225547332,2.078919314695488,0.992286846714902,1.014993186114295,1.0802523334767893,1.1810313229017397,1.3091527150102547,1.4574232851023947,1.620321072918186,1.7938656839237916,1.9752528325377638,2.162509970055723,1.1907442168902063,1.2097316682452863,1.2649851574130992,1.3520658364873348,1.4653103509319336,1.5991699859270514,1.7489175803070962,1.910821446803225,2.0820476274806223,2.2604786811820428,1.3892015858405693,1.4055109044819827,1.45334113173,1.5297384420138838,1.6306926936892339,1.751963851047843,1.889644333146085,2.040415096013536,2.201588412448693,2.3710438669310694,1.587658951343442,1.6019493561686862,1.6440754583086121,1.7119836610119907,1.802762762505357,1.9131598654764956,2.039992484058453,2.1803943654530067,2.3319158250594634,2.4925298021434723,1.7861163222774343,1.798831078256496,1.8364472288399338,1.8974843992762536,1.9797775455670437,2.0808062502160456,2.1979885431948154,2.3288873005555506,2.471323925886992,2.6234197669574484,0.19845737550834855,0.2914750203366698,1.984573690364819,1.9960248999814092,2.029990982724858,2.085372076737657,2.160522007549529,2.253463843565694,2.3620983430849702,2.484367765063011,2.6183626799894615,2.7623773056562815,0.4708234820806193,0.21347902684140596,0.2914782361071047,0.4506844474373663,0.6324903621242726,0.822035453808933,1.014993186114295,1.2097316682452863,1.4055109044819827,1.6019493561686862,1.798831078256496,0.6704748544536507,2.134790202308433,2.144016849903803,2.1714184167831445,2.2163208906277583,2.2776894615599343,2.3542368058975165,2.4445374280987617,2.547129011092015,2.660590123642997,2.7835919346393556,0.8766658521077227,1.085676843737598,1.2961443242339816,1.5074583634257992,1.719306849681343,1.931513934377679
A1,0.21347902684140596,0.0,0.21347902684140596,0.4269580537427345,0.6404370666911582,0.8539160868557246,1.0673951016308811,1.2808741209274754,1.4943531429960768,1.7078321617146492,0.2914782361071047,0.19845737550834855,0.2914782361071047,0.47083143569774605,0.6704874228677753,0.8766829486923848,1.085698423187447,1.2961703543169736,1.5074888248296558,1.719341732620562,0.4506844474373663,0.39691472835792047,0.4506844474373663,0.5829596726502996,0.7534705103979852,0.9416708446966904,1.1388241617591666,1.340987435992392,1.5461967722570773,1.7533830030097255,0.6324903621242726,0.5953721115796691,0.6324903621242726,0.7326475011938728,0.87444432521595,1.0410022137950647,1.2222399670318318,1.412518205206439,1.6086320339818763,1.8086842117516864,0.822035453808933,0.7938294798078983,0.822035453808933,0.9013730649764023,1.0199797086360676,1.1659322016600435,1.330259847967054,1.5069634034130996,1.6921702709229343,1.8833735225547332,1.014993186114295,0.992286846714902,1.014993186114295,1.0802523334767893,1.1810313229017397,1.3091527150102547,1.4574232851023947,1.620321072918186,1.7938656839237916,1.9752528325377638,1.2097316682452863,1.1907442168902063,1.2097316682452863,1.2649851574130992,1.3520658364873348,1.4653103509319336,1.5991699859270514,1.7489175803070962,1.910821446803225,2.0820476274806223,1.4055109044819827,1.3892015858405693,1.405510901275778,1.4533411348306866,1.5297384420138838,1.6306926936892339,1.751963851047843,1.889644330761321,2.0404150982220846,2.201588412448693,1.6019493561686862,1.587658951343442,1.6019493589817306,1.6440754555676456,1.7119836610119907,1.802762762505357,1.9131598654764956,2.039992486267459,2.1803943654530067,2.3319158250594634,1.798831078256496,1.7861163222774343,1.798831078256496,1.8364472288399338,1.8974843992762536,1.9797775455670437,2.0808062502160456,2.1979885431948154,2.3288873005555506,2.471323925886992,0.2914750203366698,0.19845737550834855,1.9960248999814092,1.984573690364819,1.9960248999814092,2.029990982724858,2.085372076737657,2.160522007549529,2.253463843565694,2.3620983430849702,2.484367765063011,2.6183626799894615,0.2914750203366698,0.4269580537427345,0.47083143569774605,0.5829596726502996,0.7326475011938728,0.9013730649764023,1.0802523334767893,1.2649851574130992,1.4533411348306866,1.6440754555676456,1.8364472288399338,0.4708234820806193,1.9213111830905278,1.9315532345267863,1.9619199209823064,2.0115000208906975,2.078919314695488,2.162509970055723,2.2604786811820428,2.3710438669310694,2.4925298021434723,2.6234197669574484,0.6704748544536507,0.8766658521077227,1.085676843737598,1.2961443242339816,1.5074583634257992,1.719306849681343
A2,0.4269580537427345,0.21347902684140596,0.0,0.21347902684140596,0.4269580537427345,0.6404370666911582,0.8539160868557246,1.0673951016308811,1.2808741209274754,1.4943531429960768,0.47083143569774605,0.2914782361071047,0.19845737550834855,0.2914782361071047,0.47083143569774605,0.6704874228677753,0.8766829486923848,1.085698423187447,1.2961703543169736,1.5074888248296558,0.5829596726502996,0.4506844474373663,0.39691472835792047,0.4506844474373663,0.5829596726502996,0.7534705103979852,0.9416708446966904,1.1388241617591666,1.340987435992392,1.5461967722570773,0.7326475011938728,0.6324903621242726,0.5953721115796691,0.6324903621242726,0.7326475011938728,0.87444432521595,1.0410022137950647,1.2222399670318318,1.412518205206439,1.6086320339818763,0.9013730649764023,0.822035453808933,0.7938294798078983,0.822035453808933,0.9013730649764023,1.0199797086360676,1.1659322016600435,1.330259847967054,1.5069634034130996,1.6921702709229343,1.0802523334767893,1.014993186114295,0.992286846714902,1.014993186114295,1.0802523334767893,1.1810313229017397,1.3091527150102547,1.4574232851023947,1.620321072918186,1.7938656839237916,1.2649851574130992,1.2097316682452863,1.1907442168902063,1.2097316682452863,1.2649851574130992,1.3520658364873348,1.4653103509319336,1.5991699859270514,1.7489175803070962,1.910821446803225,1.4533411348306866,1.4055109044819827,1.3892015825967239,1.4055109044819827,1.4533411348306866,1.5297384420138838,1.6306926936892339,1.7519638484756692,1.889644333146085,2.0404150982220846,1.6440754555676456,1.6019493561686862,1.5876589541818065,1.6019493561686862,1.6440754555676456,1.7119836610119907,1.802762762505357,1.9131598654764956,2.039992484058453,2.1803943654530067,1.8364472288399338,1.798831078256496,1.7861163222774343,1.798831078256496,1.8364472288399338,1.8974843992762536,1.9797775455670437,2.0808062502160456,2.1979885431948154,2.3288873005555506,0.4708234820806193,0.2914750203366698,2.029990982724858,1.9960248999814092,1.984573690364819,1.9960248999814092,2.029990982724858,2.085372076737657,2.160522007549529,2.253463843565694,2.3620983430849702,2.484367765063011,0.19845737550834855,0.6404370666911582,0.6704874228677753,0.7534705103979852,0.87444432521595,1.0199797086360676,1.1810313229017397,1.3520658364873348,1.5297384420138838,1.7119836610119907,1.8974843992762536,0.2914750203366698,1.7078321617146492,1.719341732620562,1.7533830030097255,1.8086842117516864,1.8833735225547332,1.9752528325377638,2.0820476274806223,2.201588412448693,2.3319158250594634,2.471323925886992,0.4708234820806193,0.6704748544536507,0.8766658521077227,1.085676843737598,1.2961443242339816,1.5074583634257992
A3,0.6404370666911582,0.4269580537427345,0.21347902684140596,0.0,0.21347902684140596,0.4269580537427345,0.6404370666911582,0.8539160868557246,1.0673951016308811,1.2808741209274754,0.6704874228677753,0.47083143569774605,0.2914782361071047,0.19845737550834855,0.2914782361071047,0.47083143569774605,0.6704874228677753,0.8766829486923848,1.085698423187447,1.2961703543169736,0.7534705103979852,0.5829596726502996,0.4506844474373663,0.39691472835792047,0.4506844474373663,0.5829596726502996,0.7534705103979852,0.9416708446966904,1.1388241617591666,1.340987435992392,0.87444432521595,0.7326475011938728,0.6324903621242726,0.5953721115796691,0.6324903621242726,0.7326475011938728,0.87444432521595,1.0410022137950647,1.2222399670318318,1.412518205206439,1.0199797086360676,0.9013730649764023,0.822035453808933,0.7938294798078983,0.822035453808933,0.9013730649764023,1.0199797086360676,1.1659322016600435,1.330259847967054,1.5069634034130996,1.1810313229017397,1.0802523334767893,1.014993186114295,0.992286846714902,1.014993186114295,1.0802523334767893,1.1810313229017397,1.3091527150102547,1.4574232851023947,1.620321072918186,1.3520658364873348,1.2649851574130992,1.2097316682452863,1.1907442168902063,1.2097316682452863,1.2649851574130992,1.3520658364873348,1.4653103509319336,1.5991699859270514,1.7489175803070962,1.5297384420138838,1.4533411348306866,1.405510901275778,1.3892015858405693,1.4055109044819827,1.4533411348306866,1.5297384420138838,1.6306926936892339,1.751963851047843,1.889644333146085,1.7119836610119907,1.6440754555676456,1.6019493589817306,1.587658951343442,1.6019493561686862,1.6440754555676456,1.7119836610119907,1.802762762505357,1.9131598654764956,2.039992484058453,1.8974843992762536,1.8364472288399338,1.798831078256496,1.7861163222774343,1.798831078256496,1.8364472288399338,1.8974843992762536,1.9797775455670437,2.0808062502160456,2.1979885431948154,0.6704748544536507,0.4708234820806193,2.085372076737657,2.029990982724858,1.9960248999814092,1.984573690364819,1.9960248999814092,2.029990982724858,2.085372076737657,2.160522007549529,2.253463843565694,2.3620983430849702,0.2914750203366698,0.8539160868557246,0.8766829486923848,0.9416708446966904,1.0410022137950647,1.1659322016600435,1.3091527150102547,1.4653103509319336,1.6306926936892339,1.802762762505357,1.9797775455670437,0.19845737550834855,1.4943531429960768,1.5074888248296558,1.5461967722570773,1.6086320339818763,1.6921702709229343,1.7938656839237916,1.910821446803225,2.0404150982220846,2.1803943654530067,2.3288873005555506,0.2914750203366698,0.4708234820806193,0.6704748544536507,0.8766658521077227,1.085676843737598,1.2961443242339816
A4,0.8539160868557246,0.6404370666911582,0.4269580537427345,0.21347902684140596,0.0,0.21347902684140596,0.4269580537427345,0.6404370666911582,0.8539160868557246,1.0673951016308811,0.8766829486923848,0.6704874228677753,0.47083143569774605,0.2914782361071047,0.19845737550834855,0.2914782361071047,0.47083143569774605,0.6704874228677753,0.8766829486923848,1.085698423187447,0.9416708446966904,0.7534705103979852,0.5829596726502996,0.4506844474373663,0.39691472835792047,0.4506844474373663,0.5829596726502996,0.7534705103979852,0.9416708446966904,1.1388241617591666,1.0410022137950647,0.87444432521595,0.7326475073446552,0.6324903621242726,0.5953721115796691,0.6324903621242726,0.7326475011938728,0.8744443303693429,1.0410022137950647,1.2222399670318318,1.1659322016600435,1.0199797086360676,0.9013730649764023,0.822035453808933,0.7938294798078983,0.822035453808933,0.9013730649764023,1.0199797086360676,1.1659322016600435,1.330259847967054,1.3091527150102547,1.1810313229017397,1.0802523334767893,1.014993186114295,0.992286846714902,1.014993186114295,1.0802523334767893,1.1810313229017397,1.3091527150102547,1.4574232851023947,1.4653103509319336,1.3520658364873348,1.2649851574130992,1.2097316682452863,1.1907442168902063,1.2097316682452863,1.2649851574130992,1.3520658364873348,1.4653103509319336,1.5991699859270514,1.6306926936892339,1.5297384420138838,1.45334113173,1.4055109044819827,1.3892015858405693,1.4055109044819827,1.4533411348306866,1.5297384420138838,1.6306926936892339,1.751963851047843,1.802762762505357,1.7119836610119907,1.6440754583086121,1.6019493561686862,1.587658951343442,1.6019493561686862,1.6440754555676456,1.7119836610119907,1.802762762505357,1.9131598654764956,1.9797775455670437,1.8974843992762536,1.8364472288399338,1.798831078256496,1.7861163222774343,1.798831078256496,1.8364472288399338,1.8974843992762536,1.9797775455670437,2.0808062502160456,0.8766658521077227,0.6704748544536507,2.160522007549529,2.085372076737657,2.029990982724858,1.9960248999814092,1.984573690364819,1.9960248999814092,2.029990982724858,2.085372076737657,2.160522007549529,2.253463843565694,0.4708234820806193,1.0673951016308811,1.085698423187447,1.1388241617591666,1.2222399670318318,1.330259847967054,1.4574232851023947,1.5991699859270514,1.751963851047843,1.9131598654764956,2.0808062502160456,0.2914750203366698,1.2808741209274754,1.2961703543169736,1.340987435992392,1.412518205206439,1.5069634034130996,1.620321072918186,1.7489175803070962,1.889644333146085,2.039992484058453,2.1979885431948154,0.19845737550834855,0.2914750203366698,0.4708234820806193,0.6704748544536507,0.8766658521077227,1.085676843737598
A5,1.0673951016308811,0.8539160868557246,0.6404370666911582,0.4269580537427345,0.21347902684140596,0.0,0.21347902684140596,0.4269580537427345,0.6404370666911582,0.8539160868557246,1.085698423187447,0.8766829486923848,0.6704874228677753,0.47083143569774605,0.2914782361071047,0.19845737550834855,0.2914782361071047,0.47083143569774605,0.6704874228677753,0.8766829486923848,1.1388241617591666,0.9416708446966904,0.7534705103979852,0.5829596726502996,0.4506844474373663,0.39691472835792047,0.4506844474373663,0.5829596726502996,0.7534705103979852,0.9416708446966904,1.2222399670318318,1.0410022137950647,0.8744443303693429,0.7326475011938728,0.6324903621242726,0.5953721115796691,0.6324903621242726,0.7326475073446552,0.87444432521595,1.0410022137950647,1.330259847967054,1.1659322016600435,1.0199797086360676,0.9013730649764023,0.822035453808933,0.7938294798078983,0.822035453808933,0.9013730649764023,1.0199797086360676,1.1659322016600435,1.4574232851023947,1.3091527150102547,1.1810313229017397,1.0802523334767893,1.014993186114295,0.992286846714902,1.014993186114295,1.0802523334767893,1.1810313229017397,1.3091527150102547,1.5991699859270514,1.4653103509319336,1.3520658364873348,1.2649851574130992,1.2097316682452863,1.1907442168902063,1.2097316682452863,1.2649851574130992,1.3520658364873348,1.4653103509319336,1.751963851047843,1.6306926936892339,1.5297384420138838,1.4533411348306866,1.4055109044819827,1.3892015858405693,1.4055109044819827,1.45334113173,1.5297384420138838,1.6306926936892339,1.9131598654764956,1.802762762505357,1.7119836610119907,1.6440754555676456,1.6019493561686862,1.587658951343442,1.6019493561686862,1.6440754583086121,1.7119836610119907,1.802762762505357,2.0808062502160456,1.9797775455670437,1.8974843992762536,1.8364472288399338,1.798831078256496,1.7861163222774343,1.798831078256496,1.8364472288399338,1.8974843992762536,1.9797775455670437,1.085676843737598,0.8766658521077227,2.253463843565694,2.160522007549529,2.085372076737657,2.029990982724858,1.9960248999814092,1.984573690364819,1.9960248999814092,2.029990982724858,2.085372076737657,2.160522007549529,0.6704748544536507,1.2808741209274754,1.2961703543169736,1.340987435992392,1.412518205206439,1.5069634034130996,1.620321072918186,1.7489175803070962,1.889644333146085,2.039992484058453,2.1979885431948154,0.4708234820806193,1.0673951016308811,1.085698423187447,1.1388241617591666,1.2222399670318318,1.330259847967054,1.4574232851023947,1.5991699859270514,1.751963851047843,1.9131598654764956,2.0808062502160456,0.2914750203366698,0.19845737550834855,0.2914750203366698,0.4708234820806193,0.6704748544536507,0.8766658521077227
A6,1.2808741209274754,1.0673951016308811,0.8539160868557246,0.6404370666911582,0.4269580537427345,0.21347902684140596,0.0,0.21347902684140596,0.4269580537427345,0.6404370666911582,1.2961703543169736,1.085698423187447,0.8766829486923848,0.6704874228677753,0.47083143569774605,0.2914782361071047,0.19845737550834855,0.2914782361071047,0.47083143569774605,0.6704874228677753,1.340987435992392,1.1388241617591666,0.9416708446966904,0.7534705103979852,0.5829596726502996,0.4506844474373663,0.39691472835792047,0.4506844474373663,0.5829596726502996,0.7534705103979852,1.412518205206439,1.2222399670318318,1.0410022137950647,0.87444432521595,0.7326475011938728,0.6324903621242726,0.5953721115796691,0.6324903621242726,0.7326475011938728,0.87444432521595,1.5069634034130996,1.330259847967054,1.1659322016600435,1.0199797086360676,0.9013730649764023,0.822035453808933,0.7938294798078983,0.822035453808933,0.9013730649764023,1.0199797086360676,1.620321072918186,1.4574232851023947,1.3091527150102547,1.1810313229017397,1.0802523334767893,1.014993186114295,0.992286846714902,1.014993186114295,1.0802523334767893,1.1810313229017397,1.7489175803070962,1.5991699859270514,1.4653103509319336,1.3520658364873348,1.2649851574130992,1.2097316682452863,1.1907442168902063,1.2097316682452863,1.2649851574130992,1.3520658364873348,1.889644333146085,1.751963851047843,1.6306926936892339,1.5297384420138838,1.4533411348306866,1.4055109044819827,1.3892015858405693,1.405510901275778,1.4533411348306866,1.5297384420138838,2.039992484058453,1.9131598654764956,1.802762762505357,1.7119836610119907,1.6440754555676456,1.6019493561686862,1.587658951343442,1.6019493589817306,1.6440754555676456,1.7119836610119907,2.1979885431948154,2.0808062502160456,1.9797775455670437,1.8974843992762536,1.8364472288399338,1.798831078256496,1.7861163222774343,1.798831078256496,1.8364472288399338,1.8974843992762536,1.2961443242339816,1.085676843737598,2.3620983430849702,2.253463843565694,2.160522007549529,2.085372076737657,2.029990982724858,1.9960248999814092,1.984573690364819,1.9960248999814092,2.029990982724858,2.085372076737657,0.8766658521077227,1.4943531429960768,1.5074888248296558,1.5461967722570773,1.6086320339818763,1.6921702709229343,1.7938656839237916,1.910821446803225,2.0404150982220846,2.1803943654530067,2.3288873005555506,0.6704748544536507,0.8539160868557246,0.8766829486923848,0.9416708446966904,1.0410022137950647,1.1659322016600435,1.3091527150102547,1.4653103509319336,1.6306926936892339,1.802762762505357,1.9797775455670437,0.4708234820806193,0.2914750203366698,0.19845737550834855,0.2914750203366698,0.4708234820806193,0.6704748544536507
A7,1.4943531429960768,1.2808741209274754,1.0673951016308811,0.8539160868557246,0.6404370666911582,0.4269580537427345,0.21347902684140596,0.0,0.21347902684140596,0.4269580537427345,1.5074888248296558,1.2961703543169736,1.085698423187447,0.8766829486923848,0.6704874228677753,0.47083143569774605,0.2914782361071047,0.19845737550834855,0.2914782361071047,0.47083143569774605,1.5461967722570773,1.340987435992392,1.1388241617591666,0.9416708446966904,0.7534705103979852,0.5829596726502996,0.4506844474373663,0.39691472835792047,0.4506844474373663,0.5829596726502996,1.6086320339818763,1.412518205206439,1.2222399670318318,1.0410022137950647,0.87444432521595,0.7326475011938728,0.6324903621242726,0.5953721115796691,0.6324903621242726,0.7326475011938728,1.6921702709229343,1.5069634034130996,1.330259847967054,1.1659322016600435,1.0199797086360676,0.9013730649764023,0.822035453808933,0.7938294798078983,0.822035453808933,0.9013730649764023,1.7938656839237916,1.620321072918186,1.4574232851023947,1.3091527150102547,1.1810313229017397,1.0802523334767893,1.014993186114295,0.992286846714902,1.014993186114295,1.0802523334767893,1.910821446803225,1.7489175803070962,1.5991699859270514,1.4653103509319336,1.3520658364873348,1.2649851574130992,1.2097316682452863,1.1907442168902063,1.2097316682452863,1.2649851574130992,2.0404150982220846,1.889644333146085,1.7519638484756692,1.6306926936892339,1.5297384420138838,1.4533411348306866,1.4055109044819827,1.3892015825967239,1.4055109044819827,1.4533411348306866,2.1803943654530067,2.039992484058453,1.9131598654764956,1.802762762505357,1.7119836610119907,1.6440754555676456,1.6019493561686862,1.5876589541818065,1.6019493561686862,1.6440754555676456,2.3288873005555506,2.1979885431948154,2.0808062502160456,1.9797775455670437,1.8974843992762536,1.8364472288399338,1.798831078256496,1.7861163222774343,1.798831078256496,1.8364472288399338,1.5074583634257992,1.2961443242339816,2.484367765063011,2.3620983430849702,2.253463843565694,2.160522007549529,2.085372076737657,2.029990982724858,1.9960248999814092,1.984573690364819,1.9960248999814092,2.029990982724858,1.085676843737598,1.7078321617146492,1.719341732620562,1.7533830030097255,1.8086842117516864,1.8833735225547332,1.9752528325377638,2.0820476274806223,2.201588412448693,2.3319158250594634,2.471323925886992,0.8766658521077227,0.6404370666911582,0.6704874228677753,0.7534705103979852,0.87444432521595,1.0199797086360676,1.1810313229017397,1.3520658364873348,1.5297384420138838,1.7119836610119907,1.8974843992762536,0.6704748544536507,0.4708234820806193,0.2914750203366698,0.19845737550834855,0.2914750203366698,0.4708234820806193
A8,1.7078321617146492,1.4943531429960768,1.2808741209274754,1.0673951016308811,0.8539160868557246,0.6404370666911582,0.4269580537427345,0.21347902684140596,0.0,0.21347902684140596,1.719341732620562,1.5074888248296558,1.2961703543169736,1.085698423187447,0.8766829486923848,0.6704874228677753,0.47083143569774605,0.2914782361071047,0.19845737550834855,0.2914782361071047,1.7533830030097255,1.5461967722570773,1.340987435992392,1.1388241617591666,0.9416708446966904,0.7534705103979852,0.5829596726502996,0.4506844474373663,0.39691472835792047,0.4506844474373663,1.8086842117516864,1.6086320339818763,1.412518205206439,1.2222399670318318,1.0410022137950647,0.87444432521595,0.7326475011938728,0.6324903621242726,0.5953721115796691,0.6324903621242726,1.8833735225547332,1.6921702709229343,1.5069634034130996,1.330259847967054,1.1659322016600435,1.0199797086360676,0.9013730649764023,0.822035453808933,0.7938294798078983,0.822035453808933,1.9752528325377638,1.7938656839237916,1.620321072918186,1.4574232851023947,1.3091527150102547,1.1810313229017397,1.0802523334767893,1.014993186114295,0.992286846714902,1.014993186114295,2.0820476274806223,1.910821446803225,1.7489175803070962,1.5991699859270514,1.4653103509319336,1.3520658364873348,1.2649851574130992,1.2097316682452863,1.1907442168902063,1.2097316682452863,2.201588412448693,2.0404150982220846,1.889644330761321,1.751963851047843,1.6306926936892339,1.5297384420138838,1.4533411348306866,1.405510901275778,1.3892015858405693,1.4055109044819827,2.3319158250594634,2.1803943654530067,2.039992486267459,1.9131598654764956,1.802762762505357,1.7119836610119907,1.6440754555676456,1.6019493589817306,1.587658951343442,1.6019493561686862,2.471323925886992,2.3288873005555506,2.1979885431948154,2.0808062502160456,1.9797775455670437,1.8974843992762536,1.8364472288399338,1.798831078256496,1.7861163222774343,1.798831078256496,1.719306849681343,1.5074583634257992,2.6183626799894615,2.484367765063011,2.3620983430849702,2.253463843565694,2.160522007549529,2.085372076737657,2.029990982724858,1.9960248999814092,1.984573690364819,1.9960248999814092,1.2961443242339816,1.9213111830905278,1.9315532345267863,1.9619199209823064,2.0115000208906975,2.078919314695488,2.162509970055723,2.2604786811820428,2.3710438669310694,2.4925298021434723,2.6234197669574484,1.085676843737598,0.4269580537427345,0.47083143569774605,0.5829596726502996,0.7326475011938728,0.9013730649764023,1.0802523334767893,1.2649851574130992,1.4533411348306866,1.6440754555676456,1.8364472288399338,0.8766658521077227,0.6704748544536507,0.4708234820806193,0.2914750203366698,0.19845737550834855,0.2914750203366698
A9,1.9213111830905278,1.7078321617146492,1.4943531429960768,1.2808741209274754,1.0673951016308811,0.8539160868557246,0.6404370666911582,0.4269580537427345,0.21347902684140596,0.0,1.9315532345267863,1.719341732620562,1.5074888248296558,1.2961703543169736,1.085698423187447,0.8766829486923848,0.6704874228677753,0.47083143569774605,0.2914782361071047,0.19845737550834855,1.9619199209823064,1.7533830030097255,1.5461967722570773,1.340987435992392,1.1388241617591666,0.9416708446966904,0.7534705103979852,0.5829596726502996,0.4506844474373663,0.39691472835792047,2.0115000208906975,1.8086842117516864,1.6086320339818763,1.412518205206439,1.2222399670318318,1.0410022137950647,0.87444432521595,0.7326475073446552,0.6324903621242726,0.5953721115796691,2.078919314695488,1.8833735225547332,1.6921702709229343,1.5069634034130996,1.330259847967054,1.1659322016600435,1.0199797086360676,0.9013730649764023,0.822035453808933,0.7938294798078983,2.162509970055723,1.9752528325377638,1.7938656839237916,1.620321072918186,1.4574232851023947,1.3091527150102547,1.1810313229017397,1.0802523334767893,1.014993186114295,0.992286846714902,2.2604786811820428,2.0820476274806223,1.910821446803225,1.7489175803070962,1.5991699859270514,1.4653103509319336,1.3520658364873348,1.2649851574130992,1.2097316682452863,1.1907442168902063,2.3710438669310694,2.201588412448693,2.040415096013536,1.889644333146085,1.751963851047843,1.6306926936892339,1.5297384420138838,1.45334113173,1.4055109044819827,1.3892015858405693,2.4925298021434723,2.3319158250594634,2.1803943654530067,2.039992484058453,1.9131598654764956,1.802762762505357,1.7119836610119907,1.6440754583086121,1.6019493561686862,1.587658951343442,2.6234197669574484,2.471323925886992,2.3288873005555506,2.1979885431948154,2.0808062502160456,1.9797775455670437,1.8974843992762536,1.8364472288399338,1.798831078256496,1.7861163222774343,1.931513934377679,1.719306849681343,2.7623773056562815,2.6183626799894615,2.484367765063011,2.3620983430849702,2.253463843565694,2.160522007549529,2.085372076737657,2.029990982724858,1.9960248999814092,1.984573690364819,1.5074583634257992,2.134790202308433,2.144016849903803,2.1714184167831445,2.2163208906277583,2.2776894615599343,2.3542368058975165,2.4445374280987617,2.547129011092015,2.660590123642997,2.7835919346393556,1.2961443242339816,0.21347902684140596,0.2914782361071047,0.4506844474373663,0.6324903621242726,0.822035453808933,1.014993186114295,1.2097316682452863,1.4055109044819827,1.6019493561686862,1.798831078256496,1.085676843737598,0.8766658521077227,0.6704748544536507,0.4708234820806193,0.2914750203366698,0.19845737550834855
